pid,articleid,title,publication_date,joid,prid
834778,377907,A novel renaming mechanism that boosts software prefetching,2001-06-17,,834779
463,1753451,Making muscle-computer interfaces more practical,2010-04-10,,1544
6758,2007094,Artificial intelligent firewall,2011-07-21,,6786
291332,1007713,Managing healthcare data hippocratically,2004-06-13,,291369
1619,1559787,Enterprise-level architecture for interactive web-based 3D visualization of geo-referenced repositories,2009-06-16,,1647
399605,74343,Near real-time shadow generation using BSP trees,1989-07-01,,399698
569331,276890,Cross-ratios and angles determine a polygon,1998-06-07,,569415
856550,511298,Managing semantic data in an associative net,1971-04-01,,856579
569353,276906,Results on <italic>k</italic>-sets and <italic>j</italic>-facets via continuous motion,1998-06-07,,569415
5350,1995805,Location-based management of construction projects,2009-12-13,,5618
1047188,77261,Description and performance of a class of orthogonal multiprocessor networks,1989-12-01,963401,
687074,375270,Constructing material interfaces from data sets with volume-fraction information,2000-10-01,,687169
610637,1278291,Haptic telexistence,2007-08-05,,610694
510423,1062713,Localization and routing in sensor networks by local angle information,2005-05-25,,510486
1139697,1061351,Image-based spatio-temporal modeling and view interpolation of dynamic events,2005-04-01,961832,
181740,1034492,Dispersion Simulation and Visualization For Urban Security,2004-10-10,,181890
1064172,234530,The reuse of uses in Smalltalk programming,1996-09-01,962452,
6974,192325,Studying overheads in massively parallel MIN/MAX-tree evaluation,1994-08-01,,7069
474650,324997,Theoretical advances in ***,1986-02-01,,474919
554143,775062,On the need for time series data mining benchmarks,2002-07-23,,554323
4820,1995632,Multilevel Monte Carlo for basket options,2009-12-13,,5618
490217,127864,Computing a face in an arrangement of line segments,1991-03-01,,490231
236,1753396,Hand in hand with the material,2010-04-10,,1544
71864,1137915,How to get close to the median shape,2006-06-05,,71907
6148,1690416,Using affective trajectories to describe states of flow in interactive art,2009-10-29,,6543
968118,1064417,A methodology for studying persistency aspects of internet flows,2005-04-01,963665,
1031832,581753,Fast incremental maintenance of approximate histograms,2002-09-01,962660,
933353,285258,A digital fountain approach to reliable distribution of bulk data,1998-10-01,,933392
23997,365486,Learning Markov networks,2001-01-09,,24194
359264,778434,CDMA-based MAC protocol for wireless ad hoc networks,2003-06-01,,359298
2471,949534,FAST,1990-10-23,,2677
866807,1128948,Enabling scientific workflows in virtual reality,2006-06-14,,866983
5972,1366896,Detection of steganographic information in tags of webpage,2007-06-06,,6031
3421,2399131,Squeeze me,2012-10-14,,3528
4203,1454034,Unsupervised retrieval of attack profiles in collaborative recommender systems,2008-10-23,,4312
479398,339708,Multiple-banked register file architectures,2000-05-01,,479401
5956,1366892,Privacy-preserving statistical quantitative rules mining,2007-06-06,,6031
478049,1065043,Mitosis compiler,2005-06-12,,478065
1166,1753637,Designing games for learning,2010-04-10,,1544
1017117,280557,Errata for &#8220;Potential benefits of delta encoding and data compression for HTTP&#8221;,1998-01-01,963665,
607928,949724,Visualizing code profiling line oriented statistics,1992-10-19,,608017
192731,604094,MovieLens unplugged,2003-01-12,,192798
3628,2721960,The <i>history-based authentication</i> pattern,2014-07-09,,3656
177164,502422,Animated deformations with radial basis functions,2000-10-22,,177190
5037,1995707,Architecture for comparing alternative designs of a tactical naval command and control system using discrete-event simulation,2009-12-13,,5618
895,1753565,Let's play chinese characters,2010-04-10,,1544
920700,1188684,Issues for the future of supercomputing,2006-11-11,,921036
604267,982876,Buffer minimization using max-coloring,2004-01-11,,604369
582538,1280875,Haptic telexistence,2007-08-05,,582701
901528,331874,SAIL,2000-03-01,,901621
5474,1995848,Recommended practices for homeland security modeling and simulation,2009-12-13,,5618
738021,601729,Visualization of large terrains made easy,2001-10-21,,738122
6913,1353620,Parallel vs. serial on-chip communication,2008-04-05,,6946
5748,1366831,Data description and data access mechanism in distributed workflow system,2007-06-06,,6031
829818,304993,"On range reporting, ray shooting and <italic>k</italic>-level construction",1999-06-13,,829849
3635,2721966,Strategies for hazard management process,2014-07-09,,3656
478023,1065034,Pin,2005-06-12,,478065
14,1753330,SHRIMP,2010-04-10,,1544
300117,115976,Detecting data races on weak memory systems,1991-04-01,,300154
1007099,1037108,Does AS size determine degree in as topology?,2001-10-01,963665,
737167,267026,Visualization of higher order singularities in vector fields,1997-10-01,,737329
717317,362466,Concurrent garbage collection using hardware-assisted profiling,2000-10-16,,717338
27460,258565,Non-clairvoyant multiprocessor scheduling of jobs with changing execution characteristics (extended abstract),1997-05-04,,27628
1318,1753678,Understanding usability practices in complex domains,2010-04-10,,1544
887310,161137,An expander-based approach to geometric optimization,1993-07-01,,887363
24147,365780,On validating planar worlds,2001-01-09,,24194
78146,644159,On the combinatorial complexity of euclidean Voronoi cells and convex hulls of <i>d</i>-dimensional spheres,2003-01-12,,78315
584,1753482,Embodied social proxy,2010-04-10,,1544
24007,365496,Improved approximation algorithms for rectangle tiling and packing,2001-01-09,,24194
421147,141934,Separator based parallel divide and conquer in computational geometry,1992-06-01,,421149
446620,587060,Using redundancies to find errors,2002-11-18,,446646
491273,986058,INTERACTING with sketched interface designs,2004-04-24,,491693
91280,225140,Polynomial time approximation schemes for dense instances of <italic>NP</italic>-hard problems,1995-05-29,,91388
93070,506453,E-windshield,2002-04-20,,93730
4835,1995638,Performing distributed simulation with RESTful web-services,2009-12-13,,5618
6829,117968,Coherent models for object-oriented analysis,1991-11-01,,6885
179706,1159926,COPE,2006-08-11,,179822
405449,166979,The Wisconsin Wind Tunnel,1993-06-01,,405515
574667,958536,Poster abstract,2003-11-05,,574708
4285,1454057,"An independent platform for the monitoring, analysis and adaptation of web sites",2008-10-23,,4312
1014465,301972,Reconstructing a three-dimensional model with arbitrary errors,1999-03-01,962389,
6061,1690394,Where everybody knows your game,2009-10-29,,6543
827177,316235,Dynamics of IP traffic,1999-08-30,,827179
79675,258936,Automatic verification of pointer programs using monadic second-order logic,1997-05-01,,79715
421394,353181,MultiJava,2000-10-01,,421431
5353,1995806,Resource leveling of linear schedules with singularity functions,2009-12-13,,5618
2906,997859,On the least median square problem,2004-06-08,,2998
23984,365477,Reconstructing a collection of curves with corners and endpoints,2001-01-09,,24194
161406,258500,Can shared-memory model serve as a bridging model for parallel computation?,1997-06-01,,161460
720457,319361,Forward image mapping,1999-10-24,,720618
3719,2648671,Holistic approach to low-power system design,2013-09-04,,4123
4305,1454067,Tutorial on recent progress in collaborative filtering,2008-10-23,,4312
18956,989467,Market sharing games applied to content distribution in ad-hoc networks,2004-05-24,,19025
736815,181542,Exploiting cache affinity in software cache coherence,1994-07-16,,736848
71859,1137911,Hole detection or,2006-06-05,,71907
3404,2399125,Changing my life one step at a time,2012-10-14,,3528
6599,1833284,Evolutionary clustering using frequent itemsets,2010-07-25,,6619
1350,1753687,Measuring the user experience on a large scale,2010-04-10,,1544
588295,1275008,Sensitivity analysis for automatic parallelization on multi-cores,2007-06-17,,588311
6992,181093,An &#937;(&#8730; log log n) lower bound for routing in optical networks,1994-08-01,,7069
660615,1057449,Persistence barcodes for shapes,2004-07-08,,660638
1037387,357166,Some Observations Concerning Formal Differentiation of Set Theoretic Expressions,1982-04-01,961873,
6986,181090,Bandwidth-based lower bounds on slowdown for efficient emulations of fixed-connection networks,1994-08-01,,7069
6958,192329,Parallel sorting by over partitioning,1994-08-01,,7069
2737,379260,Code layout optimizations for transaction processing workloads,2001-05-01,,2786
3612,2721971,Patterns for starting up a software startup company,2014-07-09,,3656
477801,288598,Of Vampire mirrors and privacy lamps,1998-11-01,,477815
3239,2399071,Workspace configurations,2012-10-14,,3528
553566,1247110,On regular vertices on the union of planar objects,2007-06-06,,553611
967757,146650,Sparse dynamic programming I,1992-07-01,962389,
24920,1162664,Impact of communication infrastructure on forwarding in pocket switched networks,2006-09-11,,24927
413563,288272,Accelerated ray-casting for curvilinear volumes,1998-10-18,,413693
7201,2181052,Measuring the impact of game controllers on player experience in FPS games,2011-09-28,,7379
403352,347116,The IGrid index,2000-08-01,,403546
914009,371542,Impact of virtual channels and adaptive routing on application performance,2001-04-01,,914010
1035586,306309,Machines invented for WW II code breaking,1998-12-01,962372,
1314,1753677,API usability peer reviews,2010-04-10,,1544
858585,1281939,Streaming compression of triangle meshes,2005-07-04,,858615
217380,1070494,All maximal independent sets and dynamic dominance for sparse graphs,2005-01-23,,217543
50052,1321295,Experiments in 3D interaction for mobile phone AR,2007-12-01,,50130
5816,1366852,Fast detection of database system abuse behaviors based on data mining approach,2007-06-06,,6031
380279,264205,Reactive NUMA,1997-05-01,,380303
169568,384004,Compressed bloom filters,2001-08-01,,169624
4593,1995553,A comparison of Markovian arrival and ARMA/ARTA Processes for the modeling of correlated input processes,2009-12-13,,5618
607946,949736,Automated design of virtual worlds for visualizing multivariate relations,1992-10-19,,608017
1069618,988529,Motion and time-varying imagery,1984-01-01,962137,
582326,1280797,GPU-oriented light field compression for real-time streaming,2007-08-05,,582701
605212,1123003,Hybrid transactional memory,2006-03-29,,605228
217506,1070575,The bin-covering technique for thresholding random geometric graph properties,2005-01-23,,217543
1030658,201006,Effective cache prefetching on bus-based multiprocessors,1995-02-01,963858,
6628,2007055,Educational web sites accessibility design model,2011-07-21,,6786
987394,606473,Book Reviews,1995-06-01,962726,
88125,1251120,Collaborating against common enemies,2005-10-19,,88133
3482,2399150,A wearable kids' health monitoring system on smartphone,2012-10-14,,3528
160993,1064128,A time-optimal delaunay refinement algorithm in two dimensions,2005-06-06,,161056
455706,335346,A new NC-algorithm for finding a perfect matching in bipartite planar and small genus graphs (extended abstract),2000-05-01,,455787
657210,351158,DSD,2000-08-24,,657211
3685,1016697,Identifying IPv6 network problems in the dual-stack world,2004-09-03,,3712
4129,1454011,Boosting collaborative filtering based on statistical prediction errors,2008-10-23,,4312
6954,181022,Improved bounds for routing and sorting on multi-dimensional meshes,1994-08-01,,7069
797181,314196,Efficient approximation and optimization algorithms for computational metrology,1997-01-05,,797287
859175,277943,A study of three dynamic approaches to handle widely shared data in shared-memory multiprocessors,1998-07-13,,859177
757570,543623,Containment and equivalence for an XPath fragment,2002-06-03,,757604
639150,1185683,Introduction<h3>Some Course 5 presentations are available on the introduction citation page</h3>,2006-07-30,,639473
3445,2399140,Demo of gaze controlled flying,2012-10-14,,3528
639351,1185801,Cartoon dioramas in motion,2006-07-30,,639473
6414,1690481,Real-time visualisation and browsing of a distributed video database,2009-10-29,,6543
677012,984954,Bicubic subdivision-surface wavelets for large-scale isosurface representation and visualization,2003-04-24,,677084
1069304,240809,Interaction in the virtual studio,1996-11-01,962137,
553602,1247129,On approximate range counting and depth,2007-06-06,,553611
4634,1995569,Resource modeling in discrete,2009-12-13,,5618
1131649,605460,Introduction to the two special issues on memory,2003-02-01,962572,
71852,1137906,Provably good sampling and meshing of Lipschitz surfaces,2006-06-05,,71907
6622,2007053,A comparative study of UML tools,2011-07-21,,6786
789857,863968,A framework for classifying denial of service attacks,2003-08-25,,789908
490043,545469,Efficient algorithms for document retrieval problems,2002-01-06,,490111
1125499,248461,From Kansas to Oz,1997-04-01,961004,
16048,314591,The complexity of gene placement,1999-01-01,,16396
822525,1194837,Virtually Pipelined Network Memory,2006-12-09,,822595
6575,1278970,Users dealing with spam and spam filters,2007-07-02,,6581
3115,2399032,Tangible vs. virtual representations,2012-10-14,,3528
987693,1273452,"Don't optimize existing protocols, design optimizable protocols",2007-07-20,963665,
639250,1185741,Non-photorealistic camera,2006-07-30,,639473
36847,336194,Algebraic methods and arithmetic filtering for exact predicates on circle arcs,2000-05-01,,36914
291077,1007575,Holistic UDAFs at streaming speeds,2004-06-13,,291369
720186,320100,Hardware identification of cache conflict misses,1999-11-16,,720215
6423,1690483,The Biolin,2009-10-29,,6543
5643,2500868,A fast and scalable clustering-based approach for constructing reliable radiation hybrid maps,2013-08-11,,5659
1055226,1096551,Simplifying the synthesis of internet traffic matrices,2005-10-06,963665,
846801,368073,DejaVu,2000-01-01,,846824
2942,997871,Extreme elevation on a 2-manifold,2004-06-08,,2998
686984,375224,"Tetrahedron based, least squares, progressive volume models with application to freehand ultrasound data",2000-10-01,,687169
4461,1995498,Motivaton of students for futher education in simulation by an applied example in a related other course in engineering education,2009-12-13,,5618
1006318,1031494,Effect of vertical handovers on performance of TCP-friendly rate control,2004-07-01,964035,
512826,1198711,Modern approaches to augmented reality,2005-07-31,,513018
5992,1366902,Scalable problem localization for distributed systems,2007-06-06,,6031
432680,977658,Probabilistic Predicate-Aware Modulo Scheduling,2004-03-20,,432718
796198,103457,Bounds on the time to reach agreement in the presence of timing uncertainty,1991-01-03,,796229
4310,1454009,Computational advertising and recommender systems,2008-10-23,,4312
490024,545457,The freeze-tag problem,2002-01-06,,490111
314,1753417,NiCEBook,2010-04-10,,1544
286750,1031238,Distance-function design and fusion for sequence data,2004-11-13,,286859
927808,545235,Using a user-level memory thread for correlation prefetching,2002-05-01,,927841
4406,1995464,Tips for successful practice of simulation,2009-12-13,,5618
738008,601718,Wavelet representation of contour sets,2001-10-21,,738122
1038526,236119,Eta-expansion does The Trick,1996-11-01,961873,
1717,1409257,"Map, diagram, and web page navigation on mobile devices",2008-09-02,,2092
878372,1186419,Potential fields and implicit modeling,2004-08-08,,878709
93722,506667,CHI2002,2002-04-20,,93730
816697,192248,Low cost illumination computation using an approximation of light wavefronts,1994-07-24,,816796
1252,1753661,Multi-touch techniques for exploring large-scale 3D astrophysical simulations,2010-04-10,,1544
874545,1054949,Memory coherence activity prediction in commercial workloads,2004-06-20,,874575
396091,263020,Geometric decision trees for optical character recognition (extended abstract),1997-08-01,,396174
740611,512961,Symbolic evaluation and the global value graph,1977-01-01,,740634
787571,777810,On conflict-free coloring of points and simple regions in the plane,2003-06-08,,787643
153,1753369,"An unobtrusive behavioral model of ""gross national happiness""",2010-04-10,,1544
729,1753520,Homeless young people's experiences with information systems,2010-04-10,,1544
6431,1690485,Multimedia visitor book using mobile phone,2009-10-29,,6543
455616,111074,An event-based model of software configuration management,1991-05-01,,455641
323240,237509,"First and second order diffusive methods for rapid, coarse, distributed load balancing (extended abstract)",1996-06-24,,323303
444523,1251205,Design and implementation of a routing control platform,2005-05-02,,444588
455676,335333,The risk profile problem for stock portfolio optimization (extended abstract),2000-05-01,,455787
219213,777457,The complexity of verifying memory coherence,2003-06-07,,219242
1346,1753686,Powerful and consistent analysis of likert-type ratingscales,2010-04-10,,1544
2936,997868,The geometric thickness of low degree graphs,2004-06-08,,2998
179698,1159922,Interference-aware fair rate control in wireless sensor networks,2006-08-11,,179822
1002575,1022973,Intraprogram dynamic voltage scaling,2004-09-01,964641,
849658,165260,Optimal parallel construction of Hamiltonian cycles and spanning trees in random graphs,1993-08-01,,849700
1031745,326487,How real-time technology can improve the quality of life,1999-05-01,962137,
2323,1658262,AMP,2009-11-20,,2411
541286,1275613,QUILT,2005-06-05,,541302
303,1753413,The generalized perceived input point model and how to double touch accuracy by extracting fingerprints,2010-04-10,,1544
3605,2721985,Social interaction patterns for learning in serious games,2014-07-09,,3656
960852,379635,Type-based analysis and applications,2001-06-01,,960870
451055,1276437,Adaptively sampled particle fluids,2007-07-29,,451245
217426,1070528,"Graphs excluding a fixed minor have grids as large as treewidth, with combinatorial and algorithmic applications through bidimensionality",2005-01-23,,217543
553428,263162,Potential benefits of delta encoding and data compression for HTTP,1997-10-01,,553449
987687,1273449,Can ISPS and P2P users cooperate for improved performance?,2007-07-20,963665,
1128794,356851,About This Issue&#8230;,1981-09-01,961931,
5780,1366842,Adaptive semantic measurement for information filtering,2007-06-06,,6031
686387,566423,Managing leakage for transient data,2002-08-12,,686502
610599,1278282,BYU-BYU-View,2007-08-05,,610694
922121,872789,Chain,2003-06-09,,922261
6412,1690480,Polyglot Cubed,2009-10-29,,6543
1115545,1082019,Photosensing wireless tags for geometric procedures,2005-09-01,961004,
1020204,510750,"Network topologies, power laws, and hierarchy",2002-01-01,963665,
348650,344801,Animating explosions,2000-07-01,,348795
686667,314652,An optimal algorithm for approximate nearest neighbor searching,1994-01-23,,686692
736816,181543,Performance evaluation of hybrid hardware and software distributed shared memory protocols,1994-07-16,,736848
613931,1060757,Hierarchical substring caching for efficient content distribution to low-bandwidth clients,2005-05-10,,614116
694,1753511,<i>Momentum</i>,2010-04-10,,1544
1136,1753629,The design of eco-feedback technology,2010-04-10,,1544
638282,1168880,A performance counter architecture for computing accurate CPI components,2006-10-20,,638343
381766,1281502,Computational photography <h3>Video files associated with this course are available from the citation page</h3>,2007-08-05,,382173
104240,1014151,A data mining approach to modeling relationships among categories in image collection,2004-08-22,,104305
3847,2648705,Semiconductor spintronics,2013-09-04,,4123
229330,313706,Circular separability of polygon,1995-01-22,,229415
365733,325872,Context-aware office assistant,2000-01-09,,365739
346918,782840,Predicate prediction for efficient out-of-order execution,2003-06-23,,346964
3065,2399018,Digital originals,2012-10-14,,3528
823194,1182810,Run-time dynamic linking for reprogramming wireless sensor networks,2006-10-31,,823431
996397,348749,Real-time estimation of the parameters of long-range dependence,2000-08-01,967203,
674191,259838,Unifying synchronous/asynchronous state machine synthesis,1993-11-07,,674364
379117,259279,The contour spectrum,1997-01-01,,379499
6678,2007070,Crank-Nicolson scheme to transient MHD free convective flow through semi-infinite vertical porous plate with constant suction and temperature dependent heat source,2011-07-21,,6786
404056,276781,Min-wise independent permutations (extended abstract),1998-05-23,,404115
421100,141883,The network architecture of the Connection Machine CM-5 (extended abstract),1992-06-01,,421149
4960,1995677,The impact of priority generations in a multi-priority queueing system,2009-12-13,,5618
289,1753409,A stage-based model of personal informatics systems,2010-04-10,,1544
2407,1658279,Using dynamic accounts to enable access to advanced resources through science gateways,2009-11-20,,2411
2696,379249,Dynamically allocating processor resources between nearby and distant ILP,2001-05-01,,2786
3545,2721979,A meta-pattern and pattern form for context-patterns,2014-07-09,,3656
77720,215262,Commands as media,1995-01-01,,77909
6893,1353613,Efficient tiling patterns for reconfigurable gate arrays,2008-04-05,,6946
261819,605400,Speculative synchronization,2002-10-01,,261882
539780,372195,Knowledge encapsulation for focused search from pervasive devices,2001-04-01,,539781
2122,2660523,Shape expressions,2014-09-04,,2199
4903,1995660,A Monte Carlo knowledge gradient method for learning abatement potential of emissions reduction technologies,2009-12-13,,5618
775154,511528,Personalized pocket directories for mobile devices,2002-05-07,,775185
192607,604051,Self-adaptive multimodal-interruption interfaces,2003-01-12,,192798
490064,545483,Shape dimension and approximation from samples,2002-01-06,,490111
403476,347184,Targeting the right students using data mining,2000-08-01,,403546
2069,1409351,Mobile interaction with the real world,2008-09-02,,2092
1045766,603874,On database theory and XML,2001-09-01,961127,
737765,985077,A measure of design readiness,2002-11-04,,737888
444721,1254933,"Bounding damage from link destruction, with application to the internet",2007-06-12,,444743
812050,501801,Instruction scheduling for clustered VLIW architectures,2000-09-20,,812111
1595,1559779,Interactive stories on the net,2009-06-16,,1647
19868,107988,Analytical modelling of a hierarchical buffer for a data sharing environment,1991-04-02,,19907
4075,2648755,A novel envelope edge detector for ultra-low power sensor wake-up circuit,2013-09-04,,4123
1110699,212349,Geometric programming,1995-07-01,961832,
872704,781080,Performance of estimated traffic matrices in traffic engineering,2003-06-10,,872705
201875,1109579,Robust shape fitting via peeling and grating coresets,2006-01-22,,202267
1104686,232336,How to teach graphics using X (and live to tell about it),1996-08-01,962137,
574716,1088154,A NUCA substrate for flexible CMP cache sharing,2005-06-20,,574834
569355,276907,Point-sets with few <italic>k</italic>-sets,1998-06-07,,569415
6449,1690490,Exploring the boundaries of augmented reality in a magic show performance,2009-10-29,,6543
699,1753512,Layered elaboration,2010-04-10,,1544
7206,2181054,Best practices for capturing context in user experience studies in the wild,2011-09-28,,7379
673202,157785,Efficient implementation of object-oriented programming languages (abstract),1992-12-01,,673304
809391,977152,Predictable performance in SMT processors,2004-04-14,,809415
4799,1995624,Research issues in symbiotic simulation,2009-12-13,,5618
1995,1409326,User segmentation & UI optimization through mobile phone log analysis,2008-09-02,,2092
773111,313612,Iterated nearest neighbors and finding minimal polytypes,1993-01-01,,773196
50875,280935,A distributed 3D graphics library,1998-07-24,,50912
615135,237225,New lower bounds for convex hull problems in odd dimensions,1996-05-01,,615241
1113013,205326,Rich interaction in the digital library,1995-04-01,961004,
27437,258543,Approximate complex polynomial evaluation in near constant work per point,1997-05-04,,27628
4318,2489801,Towards a moldable debugger,2013-07-01,,4331
560,1753476,Perceptions and practices of usability in the free/open source software (FoSS) community,2010-04-10,,1544
2299,1186183,Swimming across the Pacific,2004-08-08,,2322
4974,1995683,A greedy heuristic for locating crossovers in conveyor-based AMHS in wafer fabs,2009-12-13,,5618
610648,1278293,Illumination sensitive dynamic virtual sets,2007-08-05,,610694
151568,178029,Almost optimal set covers in finite VC-dimension,1994-06-10,,151601
4846,1995641,A proposed open cognitive architecture framework,2009-12-13,,5618
91746,1027658,Using web frequency within multi-media exhibitions,2004-10-10,,92010
31597,582230,"""I wish I were over there""",1983-05-01,,31604
269889,369172,Finding motifs using random projections,2001-04-22,,269997
5202,1995755,Economic evaluation of the increase in production capacity of a high technology products manufacturing cell using discrete event simulation,2009-12-13,,5618
501754,1056900,A closed-loop tactor frequency control system for vibrotactile feedback,2005-04-02,,502321
7121,808158,Using complexity functions to generate normal forms for free algebra terms,1984-01-01,,7123
340086,604538,A framework for a dynamic interactive 3D GIS for non-expert users,2003-02-11,,340090
359265,778436,Lightweight sensing and communication protocols for target enumeration and aggregation,2003-06-01,,359298
5221,1995762,Concepts for simulation based value stream mapping,2009-12-13,,5618
770359,62234,Conductance and the rapid mixing property for Markov chains: the approximation of permanent resolved,1988-01-01,,770418
685517,259995,Demonstrating raison d'etre,1994-04-28,,686042
587132,338647,Efficient bundle sorting,2000-02-01,,587159
36834,336184,The 2-center problem with obstacles,2000-05-01,,36914
970315,201037,Nearly optimal algorithms and bounds for multilayer channel routing,1995-03-01,962389,
894554,1038940,Dynamically Trading Frequency for Complexity in a GALS Microprocessor,2004-12-04,,894578
852764,637206,A flow-based model for internet backbone traffic,2002-11-06,,852839
872681,781069,Characterizing and measuring path diversity of internet topologies,2003-06-10,,872705
852778,637213,Experience in measuring backbone traffic variability,2002-11-06,,852839
2845,997836,A scalable simulator for forest dynamics,2004-06-08,,2998
705618,1186363,Bidirectional importance sampling for illumination from environment maps,2004-08-08,,705742
2085,1409354,The second international workshop on mobile internet user experience,2008-09-02,,2092
500478,266808,The design and performance of a conflict-avoiding cache,1997-12-01,,500531
85361,512662,Operational semantics of a parallel object-oriented language,1986-01-01,,85397
380302,264215,DataScalar architectures,1997-05-01,,380303
356387,314823,Algorithms for the maximum subarray problem based on matrix multiplication,1998-01-01,,356439
1112521,944021,Editorial,2003-10-01,961832,
773153,313764,Ray shooting amidst convex polytopes in three dimensions,1993-01-01,,773196
1071494,581868,Impact of TCP-like congestion control on the throughput of multicast groups,2002-08-01,967203,
985628,242245,Equipping CAD/CAM systems with geometric intelligence,1996-12-01,961931,
796191,103453,Converting high probability into nearly-constant time&#8212;with applications to parallel hashing,1991-01-03,,796229
7048,181427,An architecture for optimal all-to-all personalized communication,1994-08-01,,7069
1441,1753709,Enhancing web page readability for non-native readers,2010-04-10,,1544
1088070,1159897,Optimal constrained graph exploration,2006-07-01,964550,
491382,986105,Wideband displays,2004-04-24,,491693
829761,304907,Spanning trees crossing few barriers,1999-06-13,,829849
508410,513438,Cost prediction for ray shooting,2002-06-05,,508415
49188,965545,Video-based virtual environments,2003-07-27,,49281
1139696,1061350,Quadric-based simplification in any dimension,2005-04-01,961832,
563172,1218088,Generating surface crack patterns,2006-09-02,,563224
367930,220313,Visibility with reflection,1995-09-01,,368011
151504,177507,The realization problem for Euclidean minimum spanning trees is NP-hard,1994-06-10,,151601
762973,504492,The <i>trading function</i> in action,1996-09-09,,762995
6367,1690471,IT-enabled donation boxes to promote donation,2009-10-29,,6543
99938,307475,An efficient filter-based approach for combinational verification,1999-01-01,,100298
887336,161157,Dynamic ray shooting and shortest paths via balanced geodesic triangulations,1993-07-01,,887363
555324,288644,Online algorithms for finding profile association rules,1998-11-01,,555418
6399,1690478,Artificial game presenter avatars,2009-10-29,,6543
946843,505209,Pop-level and access-link-level traffic dynamics in a tier-1 POP,2001-11-01,,946890
5457,1995843,New M&amp;S challenges derived from the NATO research &amp; technology organization (RTO) systems analysis studies (SAS-071) task group on analytical tools for irregular warfare,2009-12-13,,5618
610629,1278289,Gravity grabber,2007-08-05,,610694
135386,967956,Boundary extraction in thermal images by edge map,2004-03-14,,136252
1014467,301974,anguages with fine-grained parallelism,1999-03-01,962389,
492507,1125557,Usability tool for analysis of web designs using mouse tracks,2006-04-21,,493292
1683,1409249,Effects of mobile map orientation and tactile feedback on navigation speed and situation awareness,2008-09-02,,2092
140597,296459,Fast compilation for pipelined reconfigurable fabrics,1999-02-01,,140715
74,1753349,Independence and interaction,2010-04-10,,1544
630436,1287854,The geometry of mobility,2007-09-09,,630437
301651,502129,Delaunay based shape reconstruction from large data,2001-10-22,,301698
2809,997826,On lines avoiding unit balls in three dimensions,2004-06-08,,2998
516,1753464,One size does not fit all,2010-04-10,,1544
1118605,249099,"Patterns, architecture and software",1996-01-01,961950,
720,1753517,Studying driver attention and behaviour for three configurations of GPS navigation in real traffic driving,2010-04-10,,1544
326197,1077617,A simple mechanism to adapt leakage-control policies to temperature,2005-08-08,,326361
564,1753477,End-user mashup programming,2010-04-10,,1544
4021,2648744,Composable accelerator-rich microprocessor enhanced for adaptivity and longevity,2013-09-04,,4123
632262,275505,Latent semantic indexing,1998-05-01,,632288
528748,1283483,Semi-oblivious routing,2007-01-07,,528850
4770,1995617,Simulation-based computation of the workload correlation function in a L&#233;vy-driven queue,2009-12-13,,5618
610674,1278303,Transparent cockpit,2007-08-05,,610694
208,1753388,Children's roles using keyword search interfaces at home,2010-04-10,,1544
1992,1409325,Understanding mobile information needs,2008-09-02,,2092
82877,335415,Influence sets based on reverse nearest neighbor queries,2000-05-16,,83116
4373,1080788,"Names, addresses and identities in ambient networks",2005-09-02,,4396
373627,1268537,Pointer warping in heterogeneous multi-monitor environments,2007-05-28,,373722
229361,313773,Morphing binary trees,1995-01-22,,229415
994793,357403,Decoupled access/execute computer architectures,1984-11-01,963858,
6390,1690476,Petimo,2009-10-29,,6543
260893,1064216,Low traffic overlay networks with large routing tables,2005-06-06,,261060
4850,1995642,Predictive algorithms for aggregation and disaggregation in mixed mode simulation,2009-12-13,,5618
261016,1064266,Deadline scheduling for animation rendering,2005-06-06,,261060
1474,1753719,Deliberate interactions,2010-04-10,,1544
922494,1015503,Impact of configuration errors on DNS robustness,2004-08-30,,922505
1131981,234471,Implementing efficient fault containment for multiprocessors,1996-09-01,961004,
456690,178478,Optimizing dynamically-dispatched calls with run-time type feedback,1994-06-01,,456698
1068483,231736,Adaptive isocurve-based rendering for freeform surfaces,1996-07-15,961832,
333832,1073279,The Varrier<sup>TM</sup> autostereoscopic virtual reality display,2005-07-01,,333940
30671,949881,Orientation maps,1993-10-25,,30781
926066,781518,Exploiting high-level coherence information to optimize distributed shared state,2003-06-11,,926086
890,1753564,Designing with mobile digital storytelling in rural Africa,2010-04-10,,1544
432691,977670,Using Dynamic Binary Translation to Fuse Dependent Instructions,2004-03-20,,432718
604457,1281973,Probabilistic fingerprints for shapes,2006-06-26,,604499
822547,1194849,ViChaR,2006-12-09,,822595
1846,1409286,Evaluation of picture browsing using a projector phone,2008-09-02,,2092
451289,1178764,Driver monitoring for a human-centered driver assistance system,2006-10-27,,451297
776616,215406,Parallel algorithms for the circuit value update problem,1995-07-20,,776664
360,1753424,Investigating narrative in mobile games for seniors,2010-04-10,,1544
212905,501452,"Highly-resilient, energy-efficient multipath routing in wireless sensor networks",2001-10-01,,212940
780,1753534,Why it's quick to be square,2010-04-10,,1544
906,1753567,Expressive robots in education,2010-04-10,,1544
499843,199416,Interactive volume visualization on a heterogeneous message-passing multicomputer,1995-04-15,,499897
810827,238063,Analysis of a simple learning algorithm,1996-01-01,,810885
