prid,proceedingid,title,subtitle,proc_desc,con_city,con_state,con_country,con_start_date,con_end_date,publication_date,puid
726517,500956,User services,,Proceedings of the 29th annual ACM SIGUCCS conference,Portland,Oregon,USA,2001-10-17,2001-10-20,2001-10-17,1545
726718,2390256,Automotive User Interfaces and Interactive Vehicular Applications,,Proceedings of the 4th International Conference,Portsmouth,New Hampshire,,2012-10-17,2012-10-19,2012-10-17,1545
726773,115992, protocols,,Proceedings of the conference,Zurich,,Switzerland,1991-09-03,1991-09-06,1991-08-01,1545
727070,2746285,Mobile Ad Hoc Networking and Computing,,Proceedings of the 16th ACM International Symposium,Hangzhou,,China,2015-06-22,2015-06-25,2015-06-22,1545
727121,2421076,,Participation,Proceedings of the 4th Media Architecture Biennale Conference,Aarhus,,Denmark,2012-11-15,2012-11-17,2012-11-15,1545
727386,2620728,Hot topics in software defined networking,,Proceedings of the third workshop,Chicago,Illinois,USA,2014-08-22,2014-08-22,2014-08-22,1545
727491,1620509,Automotive User Interfaces and Interactive Vehicular Applications,,Proceedings of the 1st International Conference,Essen,,Germany,2009-09-21,2009-09-22,2009-09-21,1545
727559,1456403,Privacy in the electronic society,,Proceedings of the 7th ACM workshop,Alexandria,Virginia,USA,2008-10-27,2008-10-27,2008-10-27,1545
727846,2582112,Computational geometry,,Proceedings of the thirtieth annual symposium,Kyoto,,Japan,2014-06-08,2014-06-11,2014-06-08,1545
727876,1658192,"Middleware Tools, Services and Run-Time Support for Sensor Networks",,Proceedings of the 4th International Workshop,Urbana Champaign,Illinois,,2009-12-01,2009-12-01,2009-12-01,1545
728016,1879211,Software visualization,,Proceedings of the 5th international symposium,Salt Lake City,Utah,USA,2010-10-25,2010-10-26,2010-10-25,1545
728093,1836001,Networked Systems for Developing Regions,,Proceedings of the 4th ACM Workshop,San Francisco,California,,2010-06-15,2010-06-15,2010-06-15,1545
728171,1862344,SImilarity Search and APplications,,Proceedings of the Third International Conference,Istanbul,,Turkey,2010-09-18,2010-09-19,2010-09-18,1545
728513,1393921, Design,,Proceedings of the 2008 international symposium,Bangalore,,India,2008-08-11,2008-08-13,2008-08-11,1545
728527,1808981,Software Development Governance,,Proceedings of the 2010 ICSE Workshop,Cape Town,,South Africa,2010-05-08,2010-05-08,2010-05-08,1545
728827,1330598,Computer systems and technologies,,Proceedings of the 2007 international conference,,,Bulgaria,2007-06-14,2007-06-15,2007-06-14,1545
728989,2483760,Software Testing and Analysis,,Proceedings of the 2013 International Symposium,Lugano,,Switzerland,2013-07-15,2013-07-20,2013-07-15,1545
729120,2019406,Computer Animation,,Proceedings of the 2011 ACM SIGGRAPH/Eurographics Symposium,Vancouver,British Columbia,Canada,2011-08-05,2011-08-07,2011-08-05,1545
729149,982484,Experiential telepresence,,Proceedings of the 2003 ACM SIGMM workshop,Berkeley,California,,2003-11-07,,2003-11-07,1545
729419,1951365,Extending Database Technology,,Proceedings of the 14th International Conference,Uppsala,,Sweden,2011-03-21,2011-03-24,2011-03-21,1545
729483,857204,Software Specification and Design,,Proceedings of the 8th International Workshop,,,,1996-03-22,1996-03-23,1996-03-22,3039
729519,1562090,Statistical and Relational Learning in Bioinformatics,,Proceedings of the KDD-09 Workshop,Paris,,France,2009-06-28,2009-06-28,2009-06-28,1545
729767,2398776,Internet measurement conference,,Proceedings of the 2012 ACM conference,Boston,Massachusetts,USA,2012-11-14,2012-11-16,2012-11-14,1545
729805,1655121,Secure web services,,Proceedings of the 2009 ACM workshop,Chicago,Illinois,USA,2009-11-13,2009-11-13,2009-11-13,1545
729994,1379092,Hypertext and hypermedia,,Proceedings of the nineteenth ACM conference,Pittsburgh,PA,USA,2008-06-19,2008-06-21,2008-06-19,1545
730033,1410064,Wireless networks and systems for developing regions,,Proceedings of the 2008 ACM workshop,San Francisco,California,USA,2008-09-19,2008-09-19,2008-09-19,1545
730158,191995,Computer architecture,,Proceedings of the 21st annual international symposium,Chicago,Illinois,USA,1994-04-18,1994-04-21,1994-04-18,2678
730173,2577036,Large scale testing,,Proceedings of the third international workshop,Dublin,,Ireland,2014-03-22,2014-03-22,2014-03-22,1545
730227,2525528,Programming Languages and Operating Systems,,Proceedings of the Seventh Workshop,Farmington,Pennsylvania,,2013-11-03,2013-11-06,2013-11-03,1545
730431,2741948,Computer Systems,,Proceedings of the Tenth European Conference,Bordeaux,,France,2015-04-21,2015-04-24,2015-04-17,1545
730630,1959826,,,Proceedings of the 2nd Augmented Human International Conference,Tokyo,,Japan,2011-03-13,2011-03-13,2011-03-13,1545
730706,2757667,,,Proceedings of the 8th ACM International Systems and Storage Conference,Haifa,,Israel,2015-05-26,2015-05-28,2015-05-26,1545
730731,1099083,Continuous archival and retrieval of personal experiences,,Proceedings of the 2nd ACM workshop,Hilton,,Singapore,2005-11-11,2005-11-11,2005-11-11,1545
730775,1868281,"Language Descriptions, Tools and Applications",,Proceedings of the Tenth Workshop,Paphos,,Cyprus,2010-03-28,2010-03-29,2010-03-28,1545
730826,228370,Field-programmable gate arrays,,Proceedings of the 1996 ACM fourth international symposium,Monterey,California,USA,1996-02-11,1996-02-13,1996-02-15,1545
730984,332306,Computational molecular biology,,Proceedings of the fourth annual international conference,Tokyo,,Japan,,,2000-04-08,1545
731223,2413097,PErvasive Technologies Related to Assistive Environments,,Proceedings of the 5th International Conference,Heraklion,Crete,Greece,2012-06-06,2012-06-08,2012-06-06,1545
731240,2670291,,,SIGGRAPH Asia 2014 Indoor Scene Understanding Where Graphics Meets Vision,Shenzhen,,China,2014-12-03,2014-12-06,2014-11-24,1545
731293,1983302,Novel Gaze-Controlled Applications,,Proceedings of the 1st Conference,Karlskrona,,Sweden,2011-05-26,2011-05-27,2011-05-26,1545
731725,1851182,,,Proceedings of the ACM SIGCOMM 2010 conference,New Delhi,,India,2010-08-30,2010-09-03,2010-08-30,1545
731854,17701,APL,APL and the future,Proceedings of the international conference,Seattle,Washington,USA,1985-05-12,1985-05-16,1986-06-01,1545
731972,800153,,,Proceedings of the 9th Design Automation Workshop,,,,1972-06-26,1972-06-28,1972-06-26,1545
732115,504800,Computer documentation, teamwork,Proceedings of IEEE professional communication society international professional communication conference and  Proceedings of the 18th annual ACM international conference,Cambridge,Massachusetts,,2000-09-24,2000-09-27,2000-09-24,732116
732155,1275240,Computer architecture education,,Proceedings of the 2000 workshop,,,,2000-06-01,,2000-06-01,1545
732916,1356802,,,Proceedings of the 2008 Asia and South Pacific Design Automation Conference,Seoul,,Korea,2008-01-21,2008-01-24,2008-01-21,2678
732995,1292491,IT research in developing countries,,Proceedings of the 2007 annual research conference of the South African institute of computer scientists and information technologists,Port Elizabeth,,South Africa,2007-10-02,2007-10-03,2007-10-02,1545
733192,2212908,Computing Frontiers,,Proceedings of the 9th conference,Cagliari,,Italy,2012-05-15,2012-05-17,2012-05-15,1545
733321,107004,Computer science education,,Proceedings of the twenty-second SIGCSE technical symposium,San Antonio,Texas,USA,1991-03-07,1991-03-08,1991-03-01,1545
733621,2076354,Interactive Tabletops and Surfaces,,Proceedings of the ACM International Conference,Kobe,,Japan,2011-11-13,2011-11-16,2011-11-13,1545
733707,1132983,Multi-hop ad hoc networks: from theory to reality,,Proceedings of the 2nd international workshop,Florence,,Italy,2006-05-26,2006-05-26,2006-05-26,1545
733741,1080148,Experimental approaches to wireless network design and analysis,,Proceedings of the 2005 ACM SIGCOMM workshop,Philadelphia,Pennsylvania,USA,2005-08-22,2005-08-22,2005-08-22,1545
733804,225014,Software engineering,,Proceedings of the 17th international conference,Seattle,Washington,USA,1995-04-24,1995-04-28,1995-04-23,1545
733875,1631005,Ambient media computing,,Proceedings of the 2009 workshop,Beijing,,China,2009-10-23,2009-10-23,2009-10-23,1545
733923,224164,Functional programming languages and computer architecture,,Proceedings of the seventh international conference,La Jolla,California,USA,1995-06-26,1995-06-28,1995-10-01,1545
733979,254208,High-level synthesis,,Proceedings of the 7th international symposium,Niagra-on-the-Lake,Ontario,Canada,1994-05-18,1994-05-20,1994-05-20,2678
734091,947121,Information technology curriculum,,Proceedings of the 4th conference,Lafayette,Indiana,USA,2003-10-16,2003-10-18,2003-10-16,1545
734159,1451983,Adversarial information retrieval on the web,,Proceedings of the 4th international workshop,Beijing,,China,2008-04-22,2008-04-22,2008-04-22,1545
734330,2745197,Interactive Experiences for TV and Online Video,,Proceedings of the ACM International Conference,Brussels,,Belgium,2015-06-03,2015-06-05,2015-06-03,1545
734377,1868470,Security and Privacy in GIS and LBS,,Proceedings of the 3rd ACM SIGSPATIAL International Workshop,San Jose,California,,2010-11-02,2010-11-02,2010-11-02,1545
736759,2556288,Human Factors in Computing Systems,,Proceedings of the SIGCHI Conference,Toronto,Ontario,Canada,2014-04-26,2014-05-01,2014-04-26,1545
736848,181181,Supercomputing,,Proceedings of the 8th international conference,Manchester,,England,1994-07-11,1994-07-15,1994-07-16,1545
737072,1882291,Foundations of software engineering,,Proceedings of the eighteenth ACM SIGSOFT international symposium,Santa Fe,New Mexico,USA,2010-11-07,2010-11-11,2010-11-07,1545
737150,2637166,Systems,,Proceedings of 5th Asia-Pacific Workshop,Beijing,,China,2014-06-25,2014-06-26,2014-06-25,1545
737329,266989,Visualization '97,,Proceedings of the 8th conference,Phoenix,Arizona,USA,1997-10-18,1997-10-24,1997-10-01,2678
737371,1298197,"Performance evaluation of wireless ad hoc, sensor,and ubiquitous networks",,Proceedings of the 4th ACM workshop,Chania,Crete Island,Greece,2007-10-22,2007-10-22,2007-10-22,1545
737459,2103746,Partial evaluation and program manipulation,,Proceedings of the ACM SIGPLAN 2012 workshop,Philadelphia,Pennsylvania,USA,2012-01-23,2012-01-24,2012-01-23,1545
737672,1401615,,,ACM SIGGRAPH 2008 new tech demos,Los Angeles,California,,2008-08-11,2008-08-15,2008-08-11,1545
737757,1822327,Computer Science and Software Engineering,,Proceedings of the Third C* Conference,Montr&#233;al,Quebec,Canada,2010-05-19,2010-05-20,2010-05-19,1545
737888,985072,"Object-oriented programming, systems, languages, and applications",,Companion of the 17th annual ACM SIGPLAN conference,Seattle,Washington,,2002-11-04,2002-11-08,2002-11-04,1545
737933,1315580,SIGAda annual international conference,,Proceedings of the 2007 ACM international conference,Fairfax,Virginia,USA,2007-11-04,2007-11-08,2007-11-04,1545
738122,601671,Visualization '01,,Proceedings of the conference,San Diego,California,,2001-10-21,2001-10-26,2001-10-21,3039
738139,1137620,Role of abstraction in software engineering,,Proceedings of the 2006 international workshop,Shanghai,,China,2006-05-21,2006-05-21,2006-05-21,1545
738478,2441955,Computer supported cooperative work companion,,Proceedings of the 2013 conference,San Antonio,Texas,USA,2013-02-23,2013-02-27,2013-02-23,1545
738615,1276318,Artificial intelligence and law,,Proceedings of the 11th international conference,Stanford,California,,2007-06-04,2007-06-08,2007-06-04,1545
738646,15433,Office information systems,,Proceedings of the third ACM-SIGOIS conference,Providence,Rhode Island,USA,1986-10-06,1986-10-08,1986-12-01,1545
738902,563340,Computer science education,,Proceedings of the 33rd SIGCSE technical symposium,Cincinnati,Kentucky,,2002-02-27,2002-03-03,2002-02-27,1545
739037,219894,User services,winning the networking game,Proceedings of the 23rd annual ACM SIGUCCS conference,St. Louis,Missouri,USA,1995-10-15,1995-10-18,1995-11-01,1545
739098,2666539,Crowd-based Software Development Methods and Technologies,,Proceedings of the 1st International Workshop,Hong Kong,,China,2014-11-17,2014-11-17,2014-11-17,1545
739134,1458572,Patent information retrieval,,Proceedings of the 1st ACM workshop,Napa Valley,California,USA,2008-10-30,2008-10-30,2008-10-30,1545
739167,1995441,Data Management on New Hardware,,Proceedings of the Seventh International Workshop,Athens,,Greece,2011-06-13,2011-06-13,2011-06-13,1545
739219,1833335,Sharing and Reusing Architectural Knowledge,,Proceedings of the 2010 ICSE Workshop,Cape Town,,South Africa,2010-05-02,2010-05-02,2010-05-02,1545
739267,2371736,Pattern Languages of Programs,,Proceedings of the 1st Asian Conference,Tokyo,,Japan,2010-03-16,2010-03-17,2010-03-16,1545
739411,1967701,Hybrid systems: computation and control,,Proceedings of the 14th international conference,Chicago,IL,USA,2011-04-12,2011-04-14,2011-04-12,1545
739477,2002353,Intelligent visual interfaces for text analysis,,Proceedings of the first international workshop,Hong Kong,,China,2010-02-07,2010-02-07,2010-02-07,1545
739517,2534142,,,Proceedings of the 9th Asian Internet Engineering Conference,Chiang Mai,,Thailand,2013-11-13,2013-11-15,2013-11-13,1545
739604,1877826,Affective interaction in natural environments,,Proceedings of the 3rd international workshop,Firenze,,Italy,2010-10-29,2010-10-29,2010-10-29,1545
739909,2735711,,,Proceedings of the 6th Augmented Human International Conference,Singapore,,Singapore,2015-03-09,2015-03-11,2015-03-09,1545
740276,1228784,VLSI,,Proceedings of the 17th ACM Great Lakes symposium,Stresa-Lago Maggiore,,Italy,2007-03-11,2007-03-13,2007-03-11,1545
740387,2394758,Object-Oriented Programming,,Proceedings of the 21st European conference,Berlin,,Germany,2007-07-30,2007-08-03,2007-07-30,13854
740426,1966901,Linked Web Data Management,,Proceedings of the 1st International Workshop,Uppsala,,Sweden,2011-03-25,2011-03-25,2011-03-25,1545
740590,1620432,,, Applications Symposium,Cetraro - Calabria,,Italy,2009-09-16,2009-09-18,2009-09-16,1545
740634,512950,Principles of programming languages,,Proceedings of the 4th ACM SIGACT-SIGPLAN symposium,Los Angeles,California,,1977-01-17,1977-01-19,1977-01-01,1545
740767,345513,Advanced visual interfaces,,Proceedings of the working conference,Palermo,,Italy,,,2000-05-01,1545
740819,1877922,eHeritage and digital art preservation,,Proceedings of the second workshop,Firenze,,Italy,2010-10-25,2010-10-25,2010-10-25,1545
741028,1626195,Security of information and networks,,Proceedings of the 2nd international conference,Famagusta,,North Cyprus,2009-10-06,2009-10-10,2009-10-06,1545
741117,2386958,Design and analysis of intelligent vehicular networks and applications,,Proceedings of the second ACM international symposium,Paphos,,Cyprus,2012-10-21,2012-10-22,2012-10-21,1545
741169,1836786,,,ACM SIGGRAPH 2010 Art Gallery,Los Angeles,California,,2010-07-26,2010-07-30,2010-07-26,1545
741238,1943226,Pattern Languages of Programs,,Proceedings of the 16th Conference,Chicago,Illinois,USA,2009-08-28,2009-08-30,2009-08-28,1545
741324,1370018,Software engineering for adaptive and self-managing systems,,Proceedings of the 2008 international workshop,Leipzig,,Germany,2008-05-12,2008-05-13,2008-05-12,1545
741357,1512762,Library-Centric Software Design,,Proceedings of the 2007 Symposium,Montreal,,Canada,2007-10-21,2007-10-21,2007-10-21,1545
741472,1837856,Queueing Theory and Network Applications,,Proceedings of the 5th International Conference,Beijing,,China,2010-07-24,2010-07-26,2010-07-24,1545
741689,956750,Knowledge discovery and data mining,,Proceedings of the ninth ACM SIGKDD international conference,"Washington, D.C.",,,2003-08-24,2003-08-27,2003-08-24,1545
741865,1660877,Performance Metrics for Intelligent Systems,,Proceedings of the 2007 Workshop,Washington,D.C.,,2007-08-28,2007-08-30,2007-08-28,1545
741958,2392987,Real-Time and Network Systems,,Proceedings of the 20th International Conference,Pont &#224; Mousson,,France,2012-11-08,2012-11-09,2012-11-08,1545
742040,1411732,Principles and practice of programming in Java,,Proceedings of the 6th international symposium,Modena,,Italy,2008-09-09,2008-09-11,2008-09-09,1545
742071,1531780,Breaking frontiers of computational biology,,Proceedings of the 1st ACM workshop,Ischia,,Italy,2009-05-18,2009-05-20,2009-05-18,1545
742150,2094720,Reliable Software Technologies,,Proceedings of the 11th Ada-Europe international conference,Porto,,Portugal,2006-06-05,2006-06-09,2006-06-05,13854
744166,2470654,Human Factors in Computing Systems,,Proceedings of the SIGCHI Conference,Paris,,France,2013-04-27,2013-05-02,2013-04-27,1545
744244,1852761,the Principles and Practice of Programming in Java,,Proceedings of the 8th International Conference,Vienna,,Austria,2010-09-15,2010-09-17,2010-09-15,1545
745303,2638728,Pervasive and Ubiquitous Computing,Adjunct Publication,Proceedings of the 2014 ACM International Joint Conference,Seattle,Washington,,2014-09-13,2014-09-17,2014-09-13,1545
745362,570645,Mobile computing and networking,,Proceedings of the 8th annual international conference,Atlanta,Georgia,USA,2002-09-23,2002-09-28,2002-09-23,1545
745403,800001,Operating System Principles,,Proceedings of the first ACM symposium,,,,,,1967-01-01,1545
745896,1399504,,,ACM SIGGRAPH 2008 papers,Los Angeles,California,,2008-08-11,2008-08-15,2008-08-11,1545
746063,1400468,,,ACM SIGGRAPH 2008 computer animation festival,Los Angeles,California,,2008-08-11,2008-08-15,2008-08-11,1545
746149,2501115,Historical Document Imaging and Processing,,Proceedings of the 2nd International Workshop,Washington,District of Columbia,USA,2013-08-24,2013-08-24,2013-08-24,1545
746176,1162628,Storage network architecture and parallel I/Os,,Proceedings of the international workshop,Antibes Juan-les-Pins,,France,2004-09-30,2004-09-30,2004-09-30,1545
746205,1462689,Mobile middleware,embracing the personal communication device,Proceedings of the 1st workshop,Leuven,,Belgium,2008-12-01,2008-12-05,2008-12-01,1545
746283,1248822,Principles of Advanced and Distributed Simulation,,Proceedings of the 21st International Workshop,,,,2007-06-12,2007-06-15,2007-06-12,3039
746309,1577382,Cognitive Wireless Networks,,First International Workshop,Vancouver,,Canada,2007-08-14,2007-08-17,2007-08-14,1545
746401,2602576,Quality of software architectures,,Proceedings of the 10th international ACM Sigsoft conference,Marcq-en-Bareul,,France,2014-06-30,2014-07-04,2014-06-27,1545
746629,1292331, systems,,Proceedings of the 3rd international conference,Bangkok,,Thailand,2006-10-25,2006-10-27,2006-10-25,1545
746681,1327171,MEmory performance,"DEaling with Applications, systems and architecture",Proceedings of the 2007 workshop,Brasov,,Romania,2007-09-16,2007-09-16,2007-09-16,1545
746877,1143120,Usable privacy and security,,Proceedings of the second symposium,Pittsburgh,Pennsylvania,USA,2006-07-12,2006-07-14,2006-07-12,1545
747476,2485760,Interaction Design and Children,,Proceedings of the 12th International Conference,New York,New York,USA,2013-06-24,2013-06-27,2013-06-24,1545
747574,165123,computer architecture,,Proceedings of the 20th annual international symposium,San Diego,California,USA,1993-05-16,1993-05-19,1993-06-01,1545
747775,2095050, VMIL'11,,Proceedings of the compilation of the co-located workshops,Portland,Oregon,USA,2011-10-23,2011-10-24,2011-10-23,1545
748677,1143549,Wireless communications and mobile computing,,Proceedings of the 2006 international conference,Vancouver,British Columbia,Canada,2006-07-03,2006-07-06,2006-07-03,1545
749018,2048147,Object oriented programming systems languages and applications companion,,Proceedings of the ACM international conference companion,Portland,Oregon,USA,2011-10-22,2011-10-27,2011-10-22,1545
749360,800032,,,Proceedings of the 20th Design Automation Conference,Miami Beach,Florida,USA,1983-06-27,1983-06-29,1983-06-27,4124
749530,1555816,"Mobile systems, applications, and services",,Proceedings of the 7th international conference,Krak&#243;w,,Poland,2009-06-22,2009-06-25,2009-06-22,1545
749609,2016656,,,Proceedings of the 2011 Visual Information Communication - International Symposium,Hong Kong,,China,2011-08-04,2011-08-05,2011-08-04,1545
749764,236452,Computer science education,,Proceedings of the twenty-seventh SIGCSE technical symposium,Philadelphia,Pennsylvania,USA,1996-02-15,1996-02-17,1996-03-01,1545
749825,223984,Systems documentation,emerging from chaos: solutions for the growing complexity of our jobs,Proceedings of the 13th annual international conference,Savannah,Georgia,USA,1995-09-30,1995-10-03,1996-02-01,1545
749921,238218,Intelligent user interfaces,,Proceedings of the 2nd international conference,Orlando,Florida,USA,1997-01-06,1997-01-09,1997-01-06,1545
749974,142621,User interface software and technology,,Proceedings of the 5th annual ACM symposium,Monteray,California,USA,1992-11-15,1992-11-18,1992-12-01,1545
750237,800253,Software engineering,,Proceedings of the 2nd international conference,San Francisco,California,USA,1976-10-13,1976-10-15,1976-10-13,2678
750378,1062261,Computing frontiers,,Proceedings of the 2nd conference,Ischia,,Italy,2005-05-04,2005-05-06,2005-05-04,1545
750591,1410140,Document engineering,,Proceedings of the eighth ACM symposium,Sao Paulo,,Brazil,2008-09-16,2008-09-19,2008-09-16,1545
750629,1509212,Multimedia Data Mining,held in conjunction with the ACM SIGKDD 2008,Proceedings of the 9th International Workshop,Las Vegas,Nevada,,2008-08-24,2008-08-24,2008-08-24,1545
750876,2072069,Theory and Practice of Electronic Governance,,Proceedings of the 5th International Conference,Tallinn,,Estonia,2011-09-26,2011-09-29,2011-09-26,1545
750925,570758,Modeling analysis and simulation of wireless and mobile systems,,Proceedings of the 5th ACM international workshop,Atlanta,Georgia,USA,2002-09-28,2002-09-28,2002-09-28,1545
750926,1142619,Computer personnel research,,Proceedings of the June meeting,Santa Monica,California,,1962-06-28,1962-06-29,1962-06-28,1545
750980,1556907,"Search-Driven Development-Users, Infrastructure, Tools and Evaluation",,Proceedings of the 2009 ICSE Workshop,,,,2009-05-16,2009-05-16,2009-05-16,3039
751183,1132516,Theory of computing,,Proceedings of the thirty-eighth annual ACM symposium,Seattle,WA,USA,2006-05-21,2006-05-23,2006-05-21,1545
751372,2362536,,,Proceedings of the 16th International Software Product Line Conference,Salvador,,Brazil,2012-09-02,2012-09-07,2012-09-02,1545
751432,1102486,Digital identity management,,Proceedings of the 2005 workshop,Fairfax,VA,USA,2005-11-11,2005-11-11,2005-11-11,1545
751479,2341931,,,ACM SIGGRAPH 2012 Art Gallery,Los Angeles,California,,2012-08-05,2012-08-09,2012-08-05,1545
751597,800257,,,Proceedings of the 1964 19th ACM national conference,,,,,,1964-01-01,1545
751794,2077356,,,SIGGRAPH Asia 2011 Computer Animation Festival,Hong Kong,,China,2011-12-12,2011-12-15,2011-12-12,1545
753533,1870926,"Design, Automation and Test in Europe",,Proceedings of the Conference,Dresden,Germany,,2010-03-08,2010-03-12,2010-03-08,11015
753586,1026799, sensor networks,,Proceedings of the ACM 2nd international workshop,New York,NY,USA,2004-10-15,2004-10-15,2004-10-15,1545
754183,2429384,Computer-Aided Design,,Proceedings of the International Conference,San Jose,California,,2012-11-05,2012-11-08,2012-11-05,1545
754312,197917,Principles of distributed computing,,Proceedings of the thirteenth annual ACM symposium,Los Angeles,California,USA,1994-08-14,1994-08-17,1994-08-14,1545
754403,505168,Formal Ontology in Information Systems,,Proceedings of the international conference,Ogunquit,Maine,USA,2001-10-17,2001-10-19,2001-10-17,1545
754423,2617548,Dynamic Languages and Applications,,Proceedings of the Workshop,Edinburgh,,United Kingdom,2014-06-09,2014-06-11,2014-06-09,1545
754464,1656485,"Model-Driven Engineering, Verification and Validation",,Proceedings of the 6th International Workshop,Denver,Colorado,USA,2009-10-05,2009-10-05,2009-10-05,1545
754571,190347,Symbolic and algebraic computation,,Proceedings of the international symposium,Oxford,,United Kingdom,1994-07-20,1994-07-22,1994-08-01,1545
754602,2501040,Data Mining for Online Advertising,,Proceedings of the Seventh International Workshop,Chicago,Illinois,,2013-08-11,2013-08-11,2013-08-11,1545
754642,323647,Operating systems principles,,Proceedings of the tenth ACM symposium,Orcas Island,Washington,USA,,,1985-12-01,1545
754785,1504229,,,ACM SIGGRAPH ASIA 2008 artgallery: emerging technologies,,,Singapore,2008-12-10,2008-12-13,2008-12-10,1545
754822,1996121,Virtualization technologies in distributed computing,,Proceedings of the 5th international workshop,San Jose,California,USA,2011-06-08,2011-06-08,2011-06-08,1545
755367,1134285,Software engineering,,Proceedings of the 28th international conference,Shanghai,,China,2006-05-20,2006-05-28,2006-05-28,1545
755397,1509847,Linking aspect technology and evolution,,Proceedings of the 1st workshop,Charlottesville,Virginia,USA,2009-03-03,2009-03-03,2009-03-03,1545
755480,1216919,Field programmable gate arrays,,Proceedings of the 2007 ACM/SIGDA 15th international symposium,Monterey,California,USA,2007-02-18,2007-02-20,2007-02-18,1545
755500,2351333,Cross Domain Knowledge Discovery in Web and Social Network Mining,,Proceedings of the 1st International Workshop,Beijing,,China,2012-08-12,2012-08-16,2012-08-12,1545
755529,222124,Foundations of software engineering,,Proceedings of the 3rd ACM SIGSOFT symposium,Washington,D.C.,USA,1995-10-12,1995-10-15,1995-10-01,1545
755833,1852786,Empirical Software Engineering and Measurement,,Proceedings of the 2010 ACM-IEEE International Symposium,Bolzano-Bozen,,Italy,2010-09-16,2010-09-17,2010-09-16,1545
756035,1950365,Architectural support for programming languages and operating systems,,Proceedings of the sixteenth international conference,Newport Beach,California,USA,2011-03-05,2011-03-11,2011-03-05,1545
756137,1860039,"Wireless of the students, by the students, for the students",,Proceedings of the 2010 ACM workshop,Chicago,Illinois,USA,2010-09-20,2010-09-20,2010-09-20,1545
756168,1966874,,,Proceedings of the 2011 Joint EDBT/ICDT Ph.D. Workshop,Uppsala,,Sweden,2011-03-25,2011-03-25,2011-03-25,1545
756237,287318,Software and performance,,Proceedings of the 1st international workshop,Santa Fe,New Mexico,USA,1998-10-12,1998-10-16,1998-10-01,1545
756270,1390832,"Testing, analysis, and verification of web services and applications",,Proceedings of the 2008 workshop,Seattle,Washington,,2008-07-21,2008-07-21,2008-07-21,1545
756300,1273404,Challenges of large applications in distributed environments,,Proceedings of the 5th IEEE workshop,Monterey,California,USA,2007-06-25,2007-06-25,2007-06-25,1545
756354,1458550,Information and knowledge management,,Proceedings of the 2nd PhD workshop,Napa Valley,California,USA,2008-10-30,2008-10-30,2008-10-30,1545
756409,2512142,Immersive media experiences,,Proceedings of the 2013 ACM international workshop,Barcelona,,Spain,2013-10-22,2013-10-22,2013-10-22,1545
756449,545261,Computer animation,,Proceedings of the 2002 ACM SIGGRAPH/Eurographics symposium,San Antonio,Texas,,2002-07-21,2002-07-22,2002-07-21,1545
756505,2487726,Hardware and Architectural Support for Security and Privacy,,Proceedings of the 2nd International Workshop,Tel-Aviv,,Israel,2013-06-23,2013-06-24,2013-06-23,1545
756654,1542084,European interactive television conference,,Proceedings of the seventh european conference,Leuven,,Belgium,2009-06-03,2009-06-05,2009-06-03,1545
756724,2643604,Interaction Design in Educational Environments,,Proceedings of the 2014 Workshop,Albacete,,Spain,2014-06-09,2014-06-09,2014-06-09,1545
756779,1862372,,,Proceedings of the Joint ERCIM Workshop on Software Evolution (EVOL) and International Workshop on Principles of Software Evolution (IWPSE),Antwerp,,Belgium,2010-09-20,2010-09-21,2010-09-20,1545
756828,154183,Software testing and analysis,,Proceedings of the 1993 ACM SIGSOFT international symposium,Cambridge,Massachusetts,USA,1993-06-28,1993-06-30,1993-08-01,1545
756868,2095654,"Model-Driven Engineering, Verification and Validation",,Proceedings of the 8th International Workshop,Wellington,,New Zealand,2011-10-17,2011-10-17,2011-10-17,1545
757056,1179295,,,ACM SIGGRAPH 2006 Educators program,Boston,Massachusetts,,2006-07-30,2006-08-03,2006-07-30,1545
757197,74587,Software engineering,,Proceedings of the 11th international conference,Pittsburgh,Pennsylvania,USA,,,1989-05-15,1545
757386,2486159,Parallelism in algorithms and architectures,,Proceedings of the twenty-fifth annual ACM symposium,Montr&#233;al,bec,Canada,2013-07-23,2013-07-25,2013-07-23,1545
757440,1370888,Software architectures and mobility,,Proceedings of the 1st international workshop,Leipzig,,Germany,2008-05-10,2008-05-10,2008-05-10,1545
757537,266180,Multimedia,,Proceedings of the fifth ACM international conference,Seattle,Washington,USA,1997-11-09,1997-11-13,1997-11-01,1545
757561,2462197,Intelligent Exploration of Semantic Data,,Proceedings of the 2nd International Workshop,Paris,,France,2013-05-01,2013-05-01,2013-05-01,1545
757604,543613,Principles of database systems,,Proceedings of the twenty-first ACM SIGMOD-SIGACT-SIGART symposium,Madison,Wisconsin,,2002-06-03,2002-06-05,2002-06-03,1545
757639,2491279,ACadeMics Tooling with Eclipse,,Proceedings of the workshop,Montpellier,,France,2013-07-02,2013-07-02,2013-07-02,1545
757742,2664398,Software Clones,,Proceedings of the 6th International Workshop,Zurich,,Switzerland,2012-06-04,2012-06-04,2012-06-04,4124
757818,2384344,"Virtual Reality, Archaeology and Intelligent Cultural Heritage",,Proceedings of the 6th International conference,Pisa,,Italy,2005-11-08,2005-11-11,2005-11-08,13696
757853,1107656,Traceability in emerging forms of software engineering,,Proceedings of the 3rd international workshop,Long Beach,California,,2005-11-08,2005-11-08,2005-11-08,1545
